prompt,completion
"(Название:) А. А. АХМАТОВОЙ (Отрывок) 
(Поэт:) Иосиф Бродский 

За церквами, садами, театрами, 
за кустами в холодных дворах, 
в темноте за дверями парадными, 
за бездомными в этих дворах. 
За пустыми ночными кварталами, 
за дворцами над светлой Невой, 
за подъездами их, за подвалами, 
за шумящей над ними листвой. 
За бульварами с тусклыми урнами, 
за балконами, полными сна, 
за кирпичными красными тюрьмами, 
где больных будоражит весна, 
за вокзальными страшными люстрами, 
что толкаются, тени гоня, 
за тремя запоздалыми чувствами 
Вы живете теперь от меня. 

За любовью, за долгом, за мужеством, 
или больше -- за Вашим лицом, 
за рекой, осененной замужеством, 
за таким одиноким пловцом. 
За своим Ленинградом, за дальними 
островами, в мелькнувшем раю, 
за своими страданьями давними,  
от меня за замками семью. 
Разделенье не жизнью, не временем, 
не пространством с кричащей толпой, 
Разделенье не болью, не бременем, 
и, хоть странно, но все ж не судьбой. 
Не пером, не бумагой, не голосом — 
разделенье печалью... К тому ж 
правдой, больше неловкой, чем горестной: 
вековой одинокостью душ.","(Title:) TO A. A. AKHMATOVA (Excerpt) 
(Poet:) Joseph Brodsky 

Behind churches and gardens and theaters, 
behind bushes in courtyards grown cold, 
in the darkness behind the front entrances, 
in these courtyards, behind homeless bums. 
Behind emptied out nights in commuter blocks, 
behind palaces in Neva's gleam, 
behind basements of theirs, hallway stairwells, 
behind leafs rustling, massed over them. 
Behind dimmest of urns down the boulevards, 
behind balconies, bustling with sleep, 
behind redness of bricks in the prison walls, 
where the Springtime's disturbing the sick, 
behind train depots frightening chandeliers 
shoving other ones, making shades flee, 
and behind three emotions, belated ones, 
you are presently living from me. 

Behind love, behind duty, courageousness 
Or more yet - past that face all Your own, 
Past that river, enlightened through marriages, 
Right behind one who swims all alone. 
Past far islands, behind my dear Leningrad, 
In some paradise twinkled on by, 
past my own ancient woes immemorial, 
my own family's locked up behind. 
Not by living, nor time, this partitioning, 
not by space, where the crowd shouts enthralled, 
Not by burdens, nor pain, such divisions and, 
though it's strange, not by fate, after all. 
Nor are papers or quills or the human voice 
which divides us. It's sorrow... And truth 
of an awkward sort, much more than begrieving: 
between souls an old lonely remove."
"Над моей пропастью 
У самой лопасти 
Кружатся глобусы 
Старые фокусы","Over my wide abyss 
Edged by the blade that spins 
Whirling the globes, as if 
Turning old magic tricks"
"(Название:) ПРО МИШУТКУ (ПЕСЕНКА ДЛЯ ЯНКИ) 
(Поэт:) Егор Летов 

Плюшевый Мишутка 
Шёл по лесу, шишки собирал 
Сразу терял всё что находил 
Превращался в мыло 
Чтобы кто-то там вспомнил 
Чтобы кто-то там глянул 
Чтобы кто-то там понял 

Плюшевый Мишутка 
Шёл войною прямо на Берлин 
Вооружён банкой из-под огурцов 
Превращался в дуло 
Чтобы поседел волос 
Чтобы почернел палец 
Чтобы опалил дождик 
Чтобы кто-то там дунул 
Чтобы кто-то там тронул 
Чтобы кто-то там вздрогнул 
Чтобы кто-то там… 
на стол накрыл 
машинку починил 
платочком махнул 
ветку нагнул… 

Плюшевый Мишутка 
Лез на небо прямо по сосне 
Грозно рычал, прутиком грозил 
Превращаясь в точку 
Значит кто-то там знает 
Значит кто-то там верит 
Значит кто-то там помнит 
Значит кто-то там любит 
Значит кто-то там…","(Title:) OF MISHUTKA (A TUNE FOR YANKA) 
(Poet:) Yegor Letov 

Plushy bear Mishutka 
Walked the forest, pinecones gathered up 
Losing quickly everything he’d found 
Turned into a soap-bar 
So that someone might remember 
So that someone might look over 
So that someone might understand 

Plushy bear Mishutka 
Went off warring, marching on Berlin 
Armed with nothing, but a pickle jar 
Grew into a gun mouth 
For a little hair graying 
For a little toe decaying 
For a little rain burning 
That somebody may blow on 
That somebody might hold on 
That somebody would shudder 
For somebody to… 
set a table… 
fix a car well… 
raise a headscarf… 
bend a branch out… 

Plushy bear Mishutka 
Climbed to heaven up a fir tree’s side 
Growled a menace, twigs swung as a threat 
Turned into a small dot 
Means somebody is knowing 
Means somebody is believing 
Means somebody is recalling 
Means somebody is loving 
Means somebody is…"
"(Название:) ПРОРОК (Первая Часть) 
(Поэт:) Александр Пушкин 

Духовной жаждою томим, 
В пустыне мрачной я влачился, — 
И шестикрылый серафим 
На перепутье мне явился. 
Перстами легкими как сон 
Моих зениц коснулся он. 
Отверзлись вещие зеницы, 
Как у испуганной орлицы. 
Моих ушей коснулся он, — 
И их наполнил шум и звон: 
И внял я неба содроганье, 
И горний ангелов полет, 
И гад морских подводный ход, 
И дольней лозы прозябанье.","(Title:) THE PROPHET (First Part) 
(Poet:) Alexander Pushkin 

Exhausted in my spirit's thirst,  
I pulled across a morbid desert, – 
Anon, a seraph of six wings 
Appeared above me at a crossroad. 
With fingers weightless as a dream 
My peering eyes were touched by him: 
And burst unsealed prophetic pupils, 
As if a frightened mother eagle’s, 
At once, my ears were touched by him, – 
And full of noise and chime were brimmed: 
And I imbibed the heaven's tremor, 
And angels in elated lift, 
And subaquatic creatures' drift, 
And sprouting of a vine pastoral. "
"(Название:) ПРОРОК (Вторая Часть) 
(Поэт:) Александр Пушкин 

И он к устам моим приник, 
И вырвал грешный мой язык, 
И празднословный и лукавый, 
И жало мудрыя змеи 
В уста замершие мои 
Вложил десницею кровавой. 
И он мне грудь рассек мечом, 
И сердце трепетное вынул, 
И угль, пылающий огнем, 
Во грудь отверстую водвинул. 
Как труп в пустыне я лежал, 
И бога глас ко мне воззвал: 
«Восстань, пророк, и виждь, и внемли, 
Исполнись волею моей, 
И, обходя моря и земли, 
Глаголом жги сердца людей».","(Title:) THE PROPHET (Second Part) 
(Poet:) Alexander Pushkin 

And closely to my lips he sprung, 
And ripped away my sinning tongue, 
A tongue that's lying, idly-worded, 
And fangs of an enlightened snake’s 
Within my frozen lips he placed 
With right hand fingers blooded-over. 
And with a sword he sliced my chest, 
And pulling out a heart that trembled, 
Into my open chest he pressed 
A burning ever-flaring ember. 
In wastelands resting like a corpse, 
I was addressed by God's own voice: 
""Arise now, prophet, guide, and hear Me, 
And with My will become informed, 
And, crossing over sea and country, 
All human hearts burn with the Word.”"
"ЛУННЫЙ КАМЕНЬ 
(Авторы Песни: Инна Кашежева, Аркадий Островский) 

Отыщи мне лунный камень, 
Сто преград преодолей 
За морями, за веками, 
В древних кладах королей 

Отыщи мне лунный камень, 
Талисман моей любви 
Под землёй, за облаками, 
В небесах, в любой дали 

Что приносит он несчастье 
Лгут – счастливый камень он 
Раздели Луну на части 
Между всеми кто влюблён 

Отыщи мне лунный камень, 
Сто преград преодолей 
За морями, за веками, 
В древних кладах королей

Отломи кусочек крайний 
Самой грустной из планет 
Подари мне лунный камень, 
Подари мне лунный свет 

Отыщи мне лунный камень 
Талисман моей любви 
Под землёй, за облаками 
В небесах, в любой дали 

Подари мне лунный камень 
Подари мне лунный свет","MOONSTONE 
(Songwriters: Inna Kashezheva, Arkadiy Ostrovskiy)  
Won't you bring me back a moon stone, 
Through a hundred barriers passed 
Over centuries and oceans, 
From an ancient royal chest  
Won't you seek me out a moonstone 
As a token of our love 
Under earth, or up in heavens, 
Far away, or high above  
It's not true that it brings curses 
It's a lucky sort of stone 
Split the moon up into pieces 
For the lovers down below 

Won't you seek me out a moon stone, 
From beyond a hundred walls 
Over centuries and oceans, 
From the ancient royal halls 
From that saddest of all planets 
Break me off a corner stone 
Won't you seek me out a moonstone 
Bring to me some lunar glow  
Won't you seek me out a moonstone 
As a token of our bond 
Over clouds or under earthworks 
Any place it may be found  
Won't you gift me with a moonstone, 
Give to me some lunar glow "
"(Название:) “НЕТ, Я НЕ БУДУ ЗНАМЕНИТА…” 
(Поэт:) Ирина Одоевцева 

Нет, я не буду знаменита. 
Меня не увенчает слава. 
Я - как на сан архимандрита 
На это не имею права. 

Ни Гумилев, ни злая пресса 
Не назовут меня талантом. 
Я - маленькая поэтесса 
С огромным бантом.","(Title:) “I’LL NEVER FIND FAME…” 
(Poet:) Irina Odoevtseva 

I'll never find fame, that’s right. 
I'll never get crowned by wreathes. 
Like to the rank of an archimandrite, 
I don't have a right to this. 

Not Gumilev, nor the evil press, 
My talent would praise, I know. 
I'm just a minuscule poetess 
With an enormous bow."
"To accurately translate into English a verse from Alexander Pushkin’s EUGENE ONEGIN the translator-poet must reproduce within the target language the full scope of compositional poetics known as the Onegin stanza, a highly specious set of formal versification patterns and constraints Pushkin had embedded into nearly every stanza of his verse novel. 
The Onegin stanza consists of 14 iambic tetrameter lines with a distinctive rhyme scheme. 
On the level of each line, the iambic tetrameter constitutes a four-fold unstressed-then-stressed syllable pattern (or x / times 4), typically with an extra unstressed end-line syllable: ( x / | x / | x / | x / | x ).
An example line: Так думал молодой повеса… This line may be translated as: The dandy youth thus contemplated… Or, representing stresses via caps: The DANdy YOUTH thus CONtemPLAted…
Meanwhile, on the stanza-level, the Onegin stanza carries the following rhyme scheme (where capital letters indicate double (feminine) rhymes): ( A b A b C C d d E f f E g g )
Now, translate the following stanza: 
Дианы грудь, ланиты Флоры 
Прелестны, милые друзья! 
Однако ножка Терпсихоры 
Прелестней чем-то для меня. 
Она, пророчествуя взгляду 
Неоцененную награду, 
Влечет условною красой 
Желаний своевольный рой. 
Люблю ее, мой друг Эльвина, 
Под длинной скатертью столов, 
Весной на мураве лугов, 
Зимой на чугуне камина, 
На зеркальном паркете зал, 
У моря на граните скал.","Diana’s breasts, the cheeks of Flora 
Are fair to view, my gentle friends!  
For me the foot of Terpsichoré 
Somehow their loneliness transcends, 
Sweet promises to the eye according, 
A prize of priceless joy awarding, 
It fans to flame the secret fire 
Of wilful, wanton, wild desire. 
I love it, dear Elvina, showing 
The table’s drooping cloth beneath 
Or tripping on the vernal heath, 
Or by the winter fireside glowing, 
Or dancing on the mirrored floor, 
Or roving by the rocky shore."
"Отыщи мне лунный камень, 
Сто преград преодолей 
За морями, за веками, 
В древних кладах королей ","Would you gift to me a moon stone, 
From beyond a hundred quests 
From across the seas and epochs, 
Out of ancient royal chests "
"НЕЖНОСТЬ 
(Авторы: Александра Пахмутова, Сергей Гребенников, Николай Добронравов) 

Опустела без тебя Земля… 
Как мне несколько часов прожить? 
Так же падает в садах листва, 
И куда-то все спешат такси… 
Только пусто на Земле одной 
Без тебя, а ты… 
Ты летишь, и тебе 
Дарят звезды 
Свою… нежность… 

Так же пусто было на Земле, 
И когда летал Экзюпери, 
Так же падала листва в садах, 
И придумать не могла Земля: 
Как прожить ей без него, пока 
Он летал, летал, 
И все звезды ему 
Отдавали свою… нежность… 

Опустела без тебя Земля… 
Если можешь, прилетай скорей…","(Title:) DEARNESS 
(Songwriters: Aleksandra Pakhmutova, Sergey Grebennikov, Nikolay Dobronravov) 

Feels so barren without you on Earth… 
How to live through just a few more hours? 
Garden leafs keep falling, as before, 
And the taxi cars run off someplace… 
But it's empty on this earth alone, 
Without you, while you… 
Are in flight 
And the stars, they all give you 
Their… dearness… 

It was just as empty on this Earth, 
Back when Saint-Exupéry was flying out, 
Garden leafs kept falling as they will, 
Yet, the planet couldn't quite conceive: 
How to live on without him, while he, 
He would fly, would fly 
Where the stars were all ready to give him 
Their… dearness… 

All the earth feels empty with you gone… 
If you're able to, please, fly back soon..."
"Accurately translate the following verse stanza: Так же пусто было на Земле, 
И когда летал Экзюпери, 
Так же падала листва в садах, 
И придумать не могла Земля: 
Как прожить ей без него, пока 
Он летал, летал 
И все звезды ему 
Отдавали свою… нежность… 
Опустела без тебя Земля… 
Если можешь, прилетай скорей…","No less empty it was on this Earth, 
When his flights took Saint-Exupéry, 
Same as ever garden leaves would fall, 
Yet, the Earth just couldn’t reconcile – 
How to manage without him, when he, 
Would fly, would fly 
Where the stars were prepared 
To gift him their own… sweetness… 
All the world feels empty without you… 
If you can, then hurry, fly on in..."
"(Название:) “МЫ НЕ УМЕЕМ ПРОЩАТЬСЯ…” 
(Поэт:) Анна Ахматова 

Мы не умеем прощаться, —
Все бродим плечо к плечу. 
Уже начинает смеркаться, 
Ты задумчив, а я молчу. 

В церковь войдем, увидим 
Отпеванье, крестины, брак, 
Не взглянув друг на друга, выйдем… 
Отчего все у нас не так? 

Или сядем на снег примятый 
На кладбище, легко вздохнем, 
И ты палкой чертишь палаты, 
Где мы будем всегда вдвоем.","(Title:) “WE’VE NEVER MASTERED THE GOODBYE…” 
(Poet:) Anna Akhmatova   We’ve never mastered the goodbye – 
Keep drifting with our elbows locked, 
And now it's dark, it's nearly night, 
I walk in silence, you’re in thought. 
 
Into a church we'd stroll and see, 
A wedding, christening, a wake. 
With not a glance between us, leave… 
Oh, why do things for us just break? 
 
But then we’d sit on trampled snow, 
Inside a graveyard, to relax, 
And then you find some twig and draw 
Our rooms to spend eternities."
Translate fragment: Опустела без тебя Земля...,Feels so barren without you on Earth...
"Translate: КРОТ 
(Авторы Песни: Дочь Монро и Кеннеди (*группа)) 

Крот. 
Добрый глупый крот. 
Глазками слепой. 
Ушками глухой. 
И с палкой. 

Крот. 
А ведь он был не горд. 
Ласковый такой. 
Рыбочка такой. 
Он весь в мамку. 

Крот. 
Вышел как-то в снег. 
В поле погулять. 
Воздух подышать. 
И всё тут! 

Крот! 
Что здесь началось. 
Мне не передать, 
Вам не передать. 
Уроды! 

Крот! 
Все закричали – Крот! – Парля-папара-ба-бейба 
– Рас-рас-такой… 
Дважды никакой… 
Самый гадкий! – 

Крот. 
А ведь он был не горд. 
Ласковый такой. 
Рыбочка такой. 
Весь в мамку. 

Крот. 
Все, кто ни возьмет 
Били по спине, 
И по голове, 
И по животу… 

Крот! 
Как не повезет, как не повезет, как не повезет 
Тем, кому извне он пошлет воздушный поцелуй.","(Title:) MOLE 
(Songwriters: Daughter of Monroe & Kennedy (*band) ) 

Mole. 
A kind and silly mole: 
With his vision fugue’d, 
Hearing way subdued, 
And limping. 

A mole 
Who wasn’t mean at all; 
But sweet in all the ways; 
Who was clearly raised 
By mommy. 

Mole 
Went out once to stroll 
In the snowy fields, 
To get air and chill… 
Oh, hell no! 

Mole! 
What at once went down… 
I could not express, 
Not to you, I guess… 
What assholes! 

Mole! 
They all start screaming – Mole!..– Parla-papara-ba-babe-ah… 
– Once… and such… you be… 
Twice a nobody… 
Vile scumbag! – 

This Mole, 
Who wasn’t vain at all, 
But sweet in all the ways; 
Who was clearly raised 
By mommy. 

Oh, mole! 
Then everyone who will 
Stomped down on his back, 
Bashed him on the head, 
And his stomach too… 

Mole! 
But how out of luck, how fucked, how unfortunate 
All those onto whom he would send an air kiss… From without!"
"Крот 
Вышел как-то в снег. 
В поле погулять. 
Воздух подышать… 
И всё тут! ","Mole 
Took a snowy stroll. 
Up into the fields. 
To breathe air and chill… 
All hell broke! "
"(Название:) SILENTIUM 
(Поэт:) Осип Мандельштам 

Она еще не родилась, 
Она и музыка и слово, 
И потому всего живого 
Ненарушаемая связь. 

Спокойно дышат моря груди, 
Но, как безумный, светел день. 
И пены бледная сирень 
В черно-лазоревом сосуде. 

Да обретут мои уста 
Первоначальную немоту, 
Как кристаллическую ноту, 
Что от рождения чиста! 

Останься пеной, Афродита, 
И, слово, в музыку вернись, 
И, сердце, сердца устыдись, 
С первоосновой жизни слито!","(Title:)  SILENTIUM 
(Poet:) Osip Mandelshtam 
 She hadn’t yet been born at all, 
She is the word, she is the music, 
And, thus, between all living being 
A never-ceasing binding pull. 

Aquatic breasts are calmly breathing, 
But, like a madman, beams the day. 
And sea-foam’s paling lilac’s lain 
Within a blackly-azure vessel. 

Oh, would my lips somehow procure 
A mute, a protoplastic, silence, 
Like notes of crystal crystallizing, 
At once, in birth and essence pure! 

Remain that sea-foam, Aphrodite, 
And, word, back into music lay, 
And, heart, before a heart feel shame, 
Into life’s mainspring flowing melted!"
"Опять на меня навалилась эта странная ночь,","Rolling on over me again, old stranger night is here,"
Кто-то посеял страх в саду моего одиночества..,"Gardens of my hermeticism someone had sown with fear,"
"Тот, кто придет вторым, завтра будет расстрелян,","Yesterday's runner up was shot next to a wall by dawn,"
"Похоронен в подвалах бульварных газет,","Buried in tabloid basement jails,"
И оплакан птичьим крылом.,Mourned by a songbird flown.
"Выживет тот, кто умеет уснуть, будет спасен на время.","Those who survive learn how to sleep, saved for a span of time,"
"Я знаю, что время кончается там, где начинается сон.",But I know: time must run out when dreams start to run inside.
Так же скульптура огромных форм,Thus does the sculpting of massive forms:
Плотью булыжных каракуль,Statues devised from slabs
Смысл выявляет извечных гор,Into an art form of timeless stone:
"(Название:) ВРЕМЯ КОЛОКОЛЬЧИКОВ 
(Поэт:) Александр Башлачёв 

Долго шли зноем и морозами. 
Все снесли и остались вольными. 
Жрали снег с кашею березовой. 
И росли вровень с колокольнями. 

Если плач – не жалели соли мы. 
Если пир – сахарного пряника. 
Звонари черными мозолями 
Рвали нерв медного динамика. 

Но с каждым днем времена меняются. 
Купола растеряли золото. 
Звонари по миру слоняются. 
Колокола сбиты и расколоты. 

Что ж теперь ходим круг да около 
На своем поле – как подпольщики? 
Если нам не отлили колокол, 
Значит, здесь – время колокольчиков. 

Зазвенит сердце под рубашкою! 
Второпях – врассыпную вороны. 
Эй! Выводи коренных с пристяжкою, 
И рванем на четыре стороны. 

Но сколько лет лошади не кованы. 
Ни одно колесо не мазано. 
Плетки нет. Седла разворованы 
И давно все узлы развязаны. 

А на дожде – все дороги радугой! 
Быть беде. Нынче нам до смеха ли? 
Но если есть колокольчик под дугой, 
Так, значит, все. Давай, заряжай – поехали! 

Загремим, засвистим, защелкаем! 
Проберет до костей, до кончиков. 
Эй, Братва! Чуете печенками 
Грозный смех русских колокольчиков? 

Век жуем матюги с молитвами. 
Век живем – хоть шары нам выколи. 
Спим да пьем. Сутками и литрами. 
Не поем. Петь уже отвыкли. 

Долго ждем. Все ходили грязные. 
Оттого сделались похожие, 
А под дождем оказались разные. 
Большинство – честные, хорошие. 

И пусть разбит батюшка Царь-колокол 
Мы пришли. Мы пришли с гитарами. 
Ведь биг-бит, блюз и рок-н-ролл 
Околдовали нас первыми ударами. 

И в груди – искры электричества. 
Шапки в снег – и рваните звонче 
Свистопляс – славное язычество. 
Я люблю время колокольчиков.","(Title:) TIME OF SMALL BELLS CHIMING 
(Poet:) Alexander Bashlachev 

Long we strode through the heat and frost and all 
Overcome, souls unchained retaining still, 
Gorged on snow-meshing birch-bark porridge raw, 
And grew as tall as the bellfry steeples. 

When we’d weep – didn’t spare on salt, did we. 
When we'd feast – only glazed and sugar'd cake. 
Calloused-black fingers of bell-ringers ripped 
Bronzéd nerves of the amplifier cab.

But day by day, times – they are a’changing, sure: 
Golden domes of all blinding shimmer stripped; 
Bell-hands as vagrants in the world all strew; 
Bells from on high shot down, smashed, and left to sit. 

So, what now? Gloomy, circle roundabouts, 
On our soils, like bootleggers, under fear? 
If for us, no great single bell was cast, 
Means – the age of our tiny chimes is here! 

May the heart underneath the fabric ring! 
In a rush – fly on out, you crowing storm! 
Hey! Bring out stallions rooted in the thill  
And upon all four winds let’s bolt, come on! 

But too long all the horses stood unshod, 
And the wheels, slow and creaky, are ungreased. 
There’s no whip. Nor one saddle – all gone robbed, 
On the reins, all the knots a loosened mess. 

While come the rain – any road a rainbow gleams! 
What the hell – ain’t much time for laughs, you say. 
But just one bell chimes beside the harness' beams, 
And we’re all good. Ready up... We’re on our way! 

We would clap, whistle, thunder on the go! 
Soaking through, to the bones, and all the ends. 
Hey there, crew! Hear down in your guts how roll 
Laughing fierce all these Russian chimes again? 

For an age, prayers, curses we would chew  
Long we've lived — eyes as good as gouged way out. 
Sleep and drink. Days on end and liters through. 
We don't sing. Must be – deconditioned. 

Long we wait. All of us thru grime had trod. 
That is why, each alike to others seemed, 
But in the rain, turned out we’re all different, 
And most of us largely honest, decent. 

And it’s good that smashed lies old big daddy bell 
We have come, bringing forth guitars with us.
For big beat, blues, and rock & roll,
Spellbound us, with their first-rung measures 

And the chest – sparks with electricity. 
Hats to the snow – and rip, resounding 
Songs a’stir – what a gloried paganism. 
How I love – our time of chiming."
"(Название:) “В окнах светится свет аптеки…“  
(Поэт:) Ирина Одоевцева 

В окнах светится свет аптеки,
Цвет зеленый — надежды цвет,
Мой пушистый зеленый плед.
Закрываю, как ставни, веки.
Может быть это счастье навеки,
А совсем не жар и не бред.

Разбиваются чайки о снасти,
Разбиваются лодки о льды,
Разбиваются души о счастье.
И не важно насколько горды,
Расцветают крестами сады,
Далеко до зеленой звезды…
Как мне душно.
Дайте воды…","(Title:) “NOW, A PHARMACY CROSS IS BEAMING…” 
(Poet:) Irina Odoevtseva 

Now, a pharmacy cross is beaming 
Green — like hope, every window greening, 
Like my blanket, my fluffy, green. 
I am shutting, like blinds, my eyelids, 
Yes, this happiness could be timeless, 
And no raving, no fevered dream. 

On the riggings would crash seagulls, 
On the ices would crash boats, 
On the happiness crash spirits, 
Crash souls, and how proud matters not. 
And with crosses keep blooming gardens, 
And the star beaming green grows far… 
I am choking. 
Bring me some water!.."
В искусство каменных статуй...,Art of stone monuments.
Искусство каменных статуй.,Art of stone monuments.
"В саду моего одиночества дождь, капли охотятся стаей,","Raining on gardens where I'm alone, raindrops still hunt in gangs,"
Но им никогда не удастся понять искусства каменных статуй.,But they shall never imbibe the full art of stone monuments!
Эта охота слабее меня острые стрелы не ранят.,"I am much stronger than the hunt - sharpest of arrows bounce,"
"Может только стоять и смеяться волк, превращенный в камень.","Once this lone wolf, transformed to stone, forever stands and laughs."
"Так же скульптура огромных форм 
Плотью булыжных каракуль 
Смысл выявляет извечных гор 
В искусства каменных статуй…","There is an art of enormous forms: 
Fleshed out of doodled slabs, 
Meaning extracts out of timeless stone 
Through to arts of stone monuments."
Искусство каменных статуй.,Here’s the art of stone monuments
"(Название:) “Дремлет старая сосна…“  (Отрывок) 
(Поэт:) Софья Парнок  

Дремлет старая сосна 
И шумит со сна. 
Я, к шершавому стволу 
Прислонясь, стою. 
— Сосенка-ровесница, 
Передай мне силу! 
Я не девять месяцев, — 
Сорок лет носила,","(Title:)  “DREAMING OFF, AN ANCIENT PINE…” (Excerpt) 
(Poet:) Sophia Parnok   

Drowsing off, an ancient pine 
rustles out of mind. 
Here I stand, on coarse-grained bark 
Of her trunk am leaned. 
– Sweetie-pine, you’re just my age, 
Give me of you might! 
More than nine months ached I am, – 
Forty years with child!"
"(Название:) ЯБЛОННЫЙ САД 
(Авторы Песни:) Shortparis (*группа)  
О, печаль моя 
Здесь я не был 
Где предел, края? 
Кто видел? 
И чья теперь ты, чья? 

Спит большая страна 
Вечным кажется вечер 
Над собором Кремля 
Поднимается ветер 

Рыба ищет сетей 
Тело ищет событий 
Пуля стала умней 
В ходе кровопролитий 

Как на улочке солдат 
Булочку ест, сладкому рад 
Он тебе и сын и брат 
Мёдом цветёт яблонный сад 

О, печаль моя 
Кто ответит 
Где предел, края? 
Кто видел? 
Куда ползёт змея? 
И чья теперь ты, чья? 

Спит родная земля 
Вечер изувечен 
Над собором Кремля 
Подымается пепел 

Как на улочке солдат 
Булочку ест, сладкому рад 
Он тебе и сын и брат 
Кровью цветёт яблонный сад 

О, печаль моя 
Здесь я не был 
Где предел, края? 
Кто видел? 
И чья теперь ты, чья? 
Теперь ты пепел…","(Title:) APPLE ORCHARD 
(Songwriters:) Shortparis (*band) 

Oh, wrenched pain of mine… 
I’ve not been here… 
Where your bounds, the fray? 
Who’d gone there? 
And whose are you now, say? 

Sleeps the giant realm 
Evening feels unending 
By the belfry wind 
Rises on the Kremlin 

Fishes search for nets 
Bodies look for outlets 
Bullets smarten up 
In the course of bloodsheds 

How that soldier on the street 
Munches on a bun, savors the sweet 
He’s your brother, he’s your kid 
Apples in the orchard bloom with mead 

Oh, my wrenching pain 
Who would answer?! 
Where the bounds, the fray? 
Who’d been there? 
And where should crawl that snake? 
And whose are you now, say? 

Sleeps dear mother land 
Evening’s bashed and mangled 
Plumes of ash ascend 
Far above the Kremlin 

How that soldier on the street 
Munches on a bun, savors the sweet 
He’s your brother, he’s your kid 
Apples in the orchard bloom and bleed 

O, wrenched pain of mine 
I’ve not been here… 
Where the bounds, the fray? 
Who’s been there? 
And whose are you now, say? 
Now that you are dust…"
"To accurately translate into English a verse from Alexander Pushkin’s EUGENE ONEGIN the translator-poet must reproduce within the target language the full scope of compositional poetics known as the Onegin stanza, a highly specious set of formal versification patterns and constraints Pushkin had embedded into nearly every stanza of his verse novel. 
The Onegin stanza consists of 14 iambic tetrameter lines with a distinctive rhyme scheme. 
On the level of each line, the iambic tetrameter constitutes a four-fold unstressed-then-stressed syllable pattern (or x / times 4), typically with an extra unstressed end-line syllable: ( x / | x / | x / | x / | x ).
An example line: Так думал молодой повеса… This line may be translated as: The dandy youth thus contemplated… Or, representing stresses via caps: The DANdy YOUTH thus CONtemPLAted…
Meanwhile, on the stanza-level, the Onegin stanza carries the following rhyme scheme (where capital letters indicate double (feminine) rhymes): ( A b A b C C d d E f f E g g )
Now, translate the following stanza: 
Я помню море пред грозою: 
Как я завидовал волнам, 
Бегущим бурной чередою 
С любовью лечь к ее ногам! 
Как я желал тогда с волнами 
Коснуться милых ног устами! 
Нет, никогда средь пылких дней 
Кипящей младости моей 
Я не желал с таким мучением 
Лобзать уста младых Армид, 
Иль розы пламенных ланит, 
Иль перси, полные томлением; 
Нет, никогда порыв страстей 
Так не терзал души моей!","Twas by the sea, a storm impending 
I watched with envy every wave 
That ran to meet her, humbly bending 
To lie before her like a slave. 
Ah! How I longed to share the blessing 
With them my lips her feet caressing. 
Ah! Never in my wildest days 
Of youthful passions’ fiercest blaze 
Can I recall such fervent yearning 
The lips to meet in fond embrace 
Of maiden fair of form and face, 
Nor ere nor since such passion burning; 
Not since the day when I was born 
Was heart so sore with anguish torn.
"
"(Название:) “Песня о родине…“  (Отрывок) 
(Поэт:) Василий Лебедев-Кумач  

Широка страна моя родная, 
Много в ней лесов, полей и рек! 
Я другой такой страны не знаю, 
Где так вольно дышит человек. 

От Москвы до самых до окраин, 
С южных гор до северных морей 
Человек проходит, как хозяин 
Необъятной Родины своей. 

Всюду жизнь привольно и широко, 
Точно Волга полная, течёт. 
Молодым везде у нас дорога, 
Старикам везде у нас почёт.","(Title:)  “Song about our motherland…” (Excerpt) 
(Poet:) Vasily Lebedev-Kumach 

O my homeland is a spacious country:  Streams and fields and forests full and fair.  I don’t know of any other country  Where a man can breathe a freer air! 

All the way from Moscow to the border.  Southern peaks to northern oceans’ foam  Persons treading each feels like the owner  Of this boundless motherland and home. 
 Here our life can flow as freely, broadly  As the Volga brimming and unchecked.  Here the young will always have a roadway  And the old will always have respect."
"О, печаль моя","Oh, my wrenching pain"
Здесь я не был,Place I've never been to
"Где предел, края?","Where the bounds, the fray?"
Кто видел?,Whoever had seen thru?
"И чья теперь ты, чья?","And whose are you now, say?"
Спит большая страна,Sleeps the giant realm
Вечным кажется вечер,Evening feels unending
Над собором Кремля,By the belfry wind
Поднимается ветер,Rises on the Kremlin
Рыба ищет сетей,Fishes search for nets
Тело ищет событий,Bodies look for outlets
Пуля стала умней,Bullets smarten up
В ходе кровопролитий,In the course of bloodsheds
Как на улочке солдат,How that soldier on the street
"Булочку ест, сладкому рад","Munches on a bun, savors the sweet"
Он тебе и сын и брат,"He's your brother, he's your kid"
Мёдом цветёт яблонный сад,Apples in the orchard bloom with mead
"О, печаль моя","Oh, my wrenching pain"
Кто ответит,Who would answer
"Где предел, края?","Where the bounds, the fray?"
Кто видел?,Who'd been there?
Куда ползёт змея?,And where doth crawl that snake?
"И чья теперь ты, чья?","And whose are you now, say?"
Спит родная земля,Sleeps dear mother land
Вечер изувечен,Evening's bashed and mangled
Над собором Кремля,Plumes of ash ascend
Подымается пепел,Far above the Kremlin
Как на улочке солдат,How that soldier on the street
"Булочку ест, сладкому рад","Munches on a bun, savors the sweet"
Он тебе и сын и брат,"He's your brother, he's your kid"
Кровью цветёт яблонный сад,Apples in the orchard bloom and bleed
"О, печаль моя","Oh, my wrenching pain"
